"Column1","Site","Period","BoneID","IsotopeSampleNumber","Species","Side","dP2","dP3","dP4","P2","P3","P4","M1","M2","M3","Zeder_Group","Payne.Group"
181,"Crno Vrilo","EN","CV.C.I.1.286","","CA","R",NA,NA,NA,NA,NA,16,17,17,NA,"V","D"
6,"Crno Vrilo","EN","CV.C.I.1.44","CV18","OA","L",NA,NA,18,NA,NA,NA,16,5,NA,"IV","D"
7,"Crno Vrilo","EN","CV.C.I.1.45","CV19","OA","L",NA,NA,NA,NA,NA,20,17,17,NA,"VII","F"
8,"Crno Vrilo","EN","CV.C.I.1.46","CV20","CA","L",NA,NA,19,NA,NA,NA,17,14,NA,"IV","D"
9,"Crno Vrilo","EN","CV.C.I.1.47","","CA","L",NA,NA,NA,NA,NA,17,17,NA,NA,"VI","E"
182,"Crno Vrilo","EN","CV.C.II.zdravica.287","","OA","L",NA,NA,NA,NA,NA,18,17,17,14,"VII","F"
183,"Crno Vrilo","EN","CV.C.II.zdravica.288","","CA","L",NA,NA,NA,NA,NA,10,17,13,9,"V","D"
185,"Crno Vrilo","EN","CV.C.IIa.1.290","","CA","L",NA,NA,NA,NA,NA,17,18,17,17,"VII","F"
22,"Crno Vrilo","EN","CV.C.III.1.60","","OA","R",NA,NA,NA,NA,NA,16,18,17,NA,"VII","F"
18,"Crno Vrilo","EN","CV.C.IV.zdravica.56","","CA","R",NA,NA,NA,NA,NA,20,17,17,NA,"VII","F"
20,"Crno Vrilo","EN","CV.C.IV.zdravica.58","CV26","OA","R",NA,NA,NA,NA,NA,20,18,17,NA,"VII","F"
2,"Crno Vrilo","EN","CV.C.IX.2.39","CV15","CA","R",NA,NA,NA,NA,NA,NA,NA,16,16,"VIII","G"
3,"Crno Vrilo","EN","CV.C.IX.2.41","","OA","R",NA,NA,NA,NA,NA,NA,NA,13,12,"VI","E"
4,"Crno Vrilo","EN","CV.C.IX.2.42","","CA","L",NA,NA,17,NA,NA,NA,13,4,NA,"III","C"
5,"Crno Vrilo","EN","CV.C.V.1.43","CV17","OA","L",NA,NA,20,NA,NA,NA,17,9,NA,"IV","D"
165,"Islam Grčki","MN","IG.A.mix..236","","OC","L",5,7,9,NA,NA,NA,NA,NA,NA,"I","A"
164,"Islam Grčki","MN","IG.A.SJ15.NW.235","","CA","R",NA,NA,21,NA,NA,NA,14,NA,NA,"III","C"
153,"Islam Grčki","MN","IG.A.SJ16B..224","","CA","R",NA,NA,NA,NA,NA,17,13,14,NA,"V","D"
169,"Islam Grčki","MN","IG.A.SJ25.SWX.240","","OC","L",NA,7,11,NA,NA,NA,NA,NA,NA,"I","A"
170,"Islam Grčki","MN","IG.A.SJ25.SWX.241","","OC","R",NA,NA,1,NA,NA,NA,11,NA,NA,"III, IV","C, D"
171,"Islam Grčki","MN","IG.A.SJ25.SWX.242","","OC","R",NA,NA,NA,NA,NA,1,1,1,1,"",""
172,"Islam Grčki","MN","IG.A.SJ25.SWX.243","","OA","L",4,6,5,NA,NA,NA,NA,NA,NA,"I","A"
173,"Islam Grčki","MN","IG.A.SJ25.SWX.244","","OA","L",NA,NA,NA,NA,NA,NA,26,25,20,"XI","I"
174,"Islam Grčki","MN","IG.A.SJ25.SWX.245","","OA","R",NA,NA,20,NA,NA,NA,14,4,NA,"IV","D"
168,"Islam Grčki","MN","IG.A.SJ25_SWX.1.239","IG239","OA","L",NA,NA,NA,NA,NA,20,18,15,15,"VII","F"
166,"Islam Grčki","MN","IG.A.SJ27..237","","OA","R",NA,NA,NA,NA,NA,20,22,17,NA,"IX","G"
167,"Islam Grčki","MN","IG.A.SJ27..238","","OC","R",NA,NA,20,NA,NA,NA,14,4,NA,"IV","D"
175,"Islam Grčki","MN","IG.A.SJ29..246","","OA","R",NA,NA,NA,NA,NA,25,25,22,17,"X","H"
159,"Islam Grčki","MN","IG.A.SJ3..230","","OC","R",NA,NA,NA,NA,NA,NA,18,17,10,"VI","E"
160,"Islam Grčki","MN","IG.A.SJ3..231","","OC","R",NA,NA,NA,NA,1,NA,NA,NA,NA,"",""
161,"Islam Grčki","MN","IG.A.SJ3..232","","CA","L",NA,NA,NA,NA,NA,11,1,13,9,"IV","D"
157,"Islam Grčki","MN","IG.A.SJ32..228","","OC","R",NA,NA,NA,NA,NA,16,1,NA,NA,"V, VI","D, E"
158,"Islam Grčki","MN","IG.A.SJ32..229","","OC","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
154,"Islam Grčki","MN","IG.A.SJ36.2.225","","OA","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
141,"Islam Grčki","MN","IG.A.SJ4..211","IG211","CA","L",NA,NA,NA,4,5,7,17,14,7,"IV","D"
156,"Islam Grčki","MN","IG.A.SJ4..227","","OA","R",NA,NA,NA,NA,NA,20,20,17,NA,"VIII","G"
162,"Islam Grčki","MN","IG.A.SJ4..233","IG233","OA","R",NA,NA,NA,NA,NA,17,18,17,16,"VII","F"
155,"Islam Grčki","MN","IG.A.SJ4.2.226","IG226","OA","R",NA,NA,NA,NA,NA,11,17,14,4,"V","D"
163,"Islam Grčki","MN","IG.A.SJ4.2.234","","CA","R",NA,NA,19,NA,NA,NA,11,NA,NA,"III","C"
140,"Islam Grčki","MN","IG.A.SJ4.5/6.210","","CA","R",NA,NA,19,NA,NA,NA,9,NA,NA,"III","C"
142,"Islam Grčki","MN","IG.A.SJ44.1.213","","OA","R",NA,NA,19,NA,NA,NA,NA,NA,NA,"III","C"
143,"Islam Grčki","MN","IG.A.SJ44.1.214","","OA","R",NA,NA,NA,NA,25,25,NA,NA,NA,"XI","I"
151,"Islam Grčki","MN","IG.A.SJ45..222","","OA","L",4,7,11,NA,NA,NA,3,NA,NA,"I","A"
152,"Islam Grčki","MN","IG.A.SJ45..223","","CA","R",NA,NA,11,NA,NA,NA,NA,NA,NA,"I","A"
309,"Islam Grčki","MN","IG.A.SJ47..212","IG212","CA","L",NA,NA,NA,7,7,9,17,17,4,"V","D"
144,"Islam Grčki","MN","IG.A.SJ47..215","","OC","L",NA,NA,NA,NA,25,21,25,NA,NA,"IX","G"
145,"Islam Grčki","MN","IG.A.SJ47..216","","OC","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
146,"Islam Grčki","MN","IG.A.SJ47..217","","OA","L",NA,NA,NA,4,NA,NA,NA,NA,NA,"IV, V","D"
147,"Islam Grčki","MN","IG.A.SJ47..218","","OA","R",NA,NA,11,4,NA,NA,NA,NA,NA,"I","A"
148,"Islam Grčki","MN","IG.A.SJ47..219","IG219","OA","L",NA,NA,NA,NA,NA,16,17,16,11,"VI","E"
149,"Islam Grčki","MN","IG.A.SJ47..220","","OC","L",NA,NA,NA,NA,NA,NA,NA,NA,9,"IV, V","D, E"
150,"Islam Grčki","MN","IG.A.SJ47..221","","OC","R",NA,NA,NA,NA,NA,NA,25,17,16,"IX","G"
44,"Smilčić","MN","SMI.15...113","","CA","R",NA,NA,NA,NA,NA,20,20,17,18,"VIII","G"
45,"Smilčić","MN","SMI.15...114","","CA","R",NA,NA,NA,7,NA,10,NA,NA,NA,"V","D"
46,"Smilčić","MN","SMI.15...115","","OA","R",NA,NA,NA,NA,NA,16,NA,NA,NA,"V, VI","D, E"
47,"Smilčić","MN","SMI.15...116","","CA","R",NA,NA,NA,NA,NA,16,17,14,NA,"V","D"
48,"Smilčić","MN","SMI.15...117","","CA","R",NA,NA,NA,NA,NA,11,NA,NA,NA,"V","D"
49,"Smilčić","MN","SMI.15...118","","OA","R",NA,NA,NA,NA,NA,17,18,17,NA,"VII","F"
50,"Smilčić","MN","SMI.15...119","","CA","R",NA,NA,NA,NA,NA,16,17,17,NA,"V","D"
51,"Smilčić","MN","SMI.15...120","","OA","R",NA,NA,NA,NA,NA,20,25,18,NA,"IX","G"
52,"Smilčić","MN","SMI.15...121","","CA","R",NA,NA,NA,NA,NA,18,NA,17,10,"VI","E"
53,"Smilčić","MN","SMI.15...122","","OC","L",NA,NA,NA,NA,NA,18,NA,NA,NA,"VII, VIII","F, G"
54,"Smilčić","MN","SMI.15...123","","CA","L",NA,16,16,1,NA,NA,NA,NA,NA,"IV","D"
55,"Smilčić","MN","SMI.15...124","","OC","L",NA,11,14,1,NA,NA,NA,NA,NA,"II","B"
56,"Smilčić","MN","SMI.15...125","","CA","L",NA,NA,NA,NA,NA,1,1,1,NA,"",""
57,"Smilčić","MN","SMI.15...126","","OA","L",NA,NA,NA,NA,NA,22,26,1,1,"X","H"
58,"Smilčić","MN","SMI.15...127","","OC","L",NA,NA,17,NA,NA,NA,12,NA,NA,"IV","D"
59,"Smilčić","MN","SMI.15...128","","OC","L",NA,NA,NA,NA,NA,NA,NA,NA,15,"VI, VII, VIII","E, F, G"
60,"Smilčić","MN","SMI.15...129","","OC","L",NA,NA,17,NA,NA,3,NA,NA,NA,"II, III, IV","B, C, D"
61,"Smilčić","MN","SMI.15...130","SMI130","OC","L",NA,NA,NA,NA,NA,NA,NA,11,NA,"IV","D"
62,"Smilčić","MN","SMI.15...131","","CA","L",NA,NA,NA,NA,NA,20,25,17,17,"IX","G"
63,"Smilčić","MN","SMI.15...132","","OA","L",NA,NA,NA,NA,NA,20,25,17,NA,"IX","G"
212,"Smilčić","EN","SMI.B.M1.21.333","","CA","L",NA,NA,NA,NA,12,10,17,14,NA,"V","D"
213,"Smilčić","EN","SMI.B.M1.21.334","","CA","L",NA,NA,NA,20,24,20,18,17,16,"X","H"
215,"Smilčić","EN","SMI.B.N2.22.338","SMI338","OA","L",NA,NA,NA,NA,NA,20,17,17,16,"VII","F"
214,"Smilčić","EN","SMI.B.N2/M2.22.335","SMI335","OA","L",NA,NA,NA,NA,20,20,17,17,NA,"VII","F"
216,"Smilčić","MN","SMI.C..41.349","","CA","R",NA,20,19,NA,NA,NA,14,11,NA,"IV","D"
231,"Smilčić","MN","SMI.C.O10.41.364","","OA","L",NA,20,17,NA,NA,NA,NA,NA,NA,"IV","D"
232,"Smilčić","MN","SMI.C.O10.41.365","","OC","R",14,16,19,NA,NA,NA,11,NA,NA,"III","C"
233,"Smilčić","MN","SMI.C.O10.41.366","","OC","R",NA,NA,NA,NA,3,1,14,11,NA,"IV","D"
225,"Smilčić","MN","SMI.C.O10.41B.358","","OC","L",NA,NA,NA,NA,NA,NA,NA,NA,17,"VII, VIII, IX, X, XI","F, G, H, I"
226,"Smilčić","MN","SMI.C.O10.41B.359","","OA","L",17,25,19,NA,NA,NA,11,NA,NA,"III","C"
227,"Smilčić","MN","SMI.C.P10.41.360","SMI360","OA","R",NA,NA,NA,NA,20,17,18,17,17,"VII","F"
228,"Smilčić","MN","SMI.C.P10.41.361","","OA","R",NA,NA,NA,1,22,22,25,17,17,"X","H"
229,"Smilčić","MN","SMI.C.P10.41.362","","OC","R",NA,NA,NA,NA,NA,NA,16,9,NA,"IV","D"
230,"Smilčić","MN","SMI.C.P10.41.363","","OC","R",NA,NA,21,NA,NA,NA,17,NA,NA,"IV","D"
222,"Smilčić","MN","SMI.C.P9.41.355","","OC","R",NA,NA,NA,NA,NA,17,NA,NA,NA,"VI, VII, VIII","E, F, G"
223,"Smilčić","MN","SMI.C.P9.41.356","","OC","L",NA,NA,NA,NA,NA,7,17,11,NA,"IV","D"
224,"Smilčić","MN","SMI.C.P9.41.357","","OA","L",NA,NA,NA,10,16,20,18,NA,NA,"VII","F"
218,"Smilčić","MN","SMI.C.P9.41A.351","","CA","L",NA,NA,NA,4,5,7,17,NA,NA,"V","D"
219,"Smilčić","MN","SMI.C.P9.41A.352","","OA","R",12,16,17,NA,NA,NA,10,3,NA,"II","B"
220,"Smilčić","MN","SMI.C.P9.41A.353","","OC","L",NA,NA,17,NA,NA,NA,14,NA,NA,"IV","D"
221,"Smilčić","MN","SMI.C.P9.41A.354","","CA","R",NA,NA,NA,7,17,14,17,17,NA,"V","D"
234,"Smilčić","EN","SMI.D..JAMA_17.403","SMI403","OA","L",NA,NA,NA,NA,NA,20,19,17,NA,"VIII","G"
235,"Smilčić","EN","SMI.D..JAMA_17.404","","OC","L",10,14,19,NA,NA,NA,11,NA,NA,"II","B"
236,"Smilčić","MN","SMI.D.L6.56.405","","OA","L",NA,NA,NA,NA,NA,20,19,17,17,"VIII","G"
237,"Smilčić","MN","SMI.D.L6.56.406","","OC","R",NA,NA,NA,NA,NA,25,25,NA,NA,"XI","I"
238,"Smilčić","MN","SMI.D.L6.56.407","","OC","R",NA,NA,NA,NA,NA,25,25,19,17,"X","H"
239,"Smilčić","MN","SMI.D.L6.56.408","","OA","R",NA,24,19,NA,NA,NA,16,13,NA,"IV","D"
240,"Smilčić","MN","SMI.D.L6.56.409","","OC","R",NA,NA,19,NA,NA,NA,NA,NA,NA,"III, IV","C, D"
241,"Smilčić","MN","SMI.D.L7.56.410","","OA","L",NA,NA,NA,NA,NA,20,NA,18,NA,"IX","G"
242,"Smilčić","MN","SMI.D.L7.56.411","","OC","R",NA,NA,NA,NA,NA,17,20,18,NA,"VIII","G"
